MDA_name,Financial Year,Approved Budget,Actual Expenditure,Utilization Rate (%),variance,pct_variance,Audit Flag,Cluster
AIA,2020/2021,198535694030,155293985890,78.21968067189677,43241708140,21.78031932810324,1,1
ASDSP II,2021/2022,8300000,2563200,30.88192771084337,5736800,69.11807228915663,1,1
Account Payable - Deposits,2020/2021,4529100210,15488034310,341.96713677925004,-10958934100,-241.96713677925,1,1
Account Payables,2021/2022,1399977930,6107770090,436.27616972504705,-4707792160,-336.276169725047,1,1
Accounts,2020/2021,158689062850,4643433390,2.9261206201647187,154045629460,97.07387937983528,1,1
Acquisition of Assets,2020/2021,2603723680,1931824430,74.19467913738066,671899250,25.80532086261934,1,1
Acquisition of Assets,2021/2022,1137124700,1581610480,139.0885696177385,-444485780,-39.08856961773849,1,1
Acquisition of Land,2022/2023,1320960560,1225609480,92.78168607850033,95351080,7.21831392149967,0,1
Adjustment during the year,2020/2021,6262310,4840628180,77297.80512302968,-4834365870,-77197.80512302968,1,1
Agro-Chemical and Food,2020/2021,28468840000,29418840000,103.33698176673163,-950000000,-3.336981766731627,0,1
Application Fees,2022/2023,55696400,55816140,100.21498696504621,-119740,-0.21498696504621487,0,1
Application for docking Facility USD,2023/2024,5020,645860,12865.737051792828,-640840,-12765.737051792828,1,1
April,2020/2021,20210,6440240,31866.60069272637,-6420030,-31766.60069272637,1,1
April,2021/2022,20210,10632770,52611.42998515586,-10612560,-52511.42998515586,1,1
April,2022/2023,369136920,297447150,80.57908431375544,71689770,19.420915686244552,1,1
Arror,2023/2024,918522670,918522670,100.0,0,0.0,0,1
Arror Dam,2020/2021,61595780,61595780,100.0,0,0.0,0,1
Arror Dam,2021/2022,918522670,31965910,3.4801438270434852,886556760,96.51985617295652,1,1
Arror Dam,2022/2023,918522670,31965910,3.4801438270434852,886556760,96.51985617295652,1,1
Athi Water Services Board,2021/2022,471816774430,447803101720,94.91038173896831,24013672710,5.089618261031695,0,0
August,2022/2023,375599770,395497610,105.29761772750818,-19897840,-5.297617727508193,0,1
Authentication of Certificate USD-,2023/2024,5050,649740,12866.138613861387,-644690,-12766.138613861387,1,1
B Frame,2020/2021,8540000,20491000,239.94145199063232,-11951000,-139.94145199063232,1,1
Basic Wages,2020/2021,4818860560,3322773030,68.95350028555298,1496087530,31.046499714447016,1,1
Berlin recurrent,2023/2024,1420,41276490,2906795.0704225353,-41275070,-2906695.0704225353,1,2
Betting Control and Licensing,2023/2024,1370525680,1370517680,99.9994162823713,8000,0.0005837176286985006,0,1
Bomet Mulot Water,2022/2023,20685825360,3566521610,17.241379292008098,17119303750,82.75862070799191,1,1
Bomet Mulot Water Supply,2021/2022,20685825360,3566521610,17.241379292008098,17119303750,82.75862070799191,1,1
Bunyala DCCs,2023/2024,470000000,300000000,63.829787234042556,170000000,36.17021276595745,1,1
Bunyonge,2020/2021,100000,1500000,1500.0,-1400000,-1400.0,1,1
Busia,2023/2024,645546550,645446550,99.98450925033988,100000,0.015490749660113589,0,1
Busia Sugar Company,2022/2023,14856750,297135000,2000.0,-282278250,-1900.0,1,1
Business Registration Services,2022/2023,11481010230,11481009760,99.99999590628359,470,4.093716411574002e-06,0,1
Business Registration Services,2023/2024,23552820920,23557325420,100.01912509764881,-4504500,-0.01912509764881276,0,1
CADREP,2021/2022,72058310,99562630,138.16953242450452,-27504320,-38.169532424504546,1,1
CBK-Deposits,2020/2021,1470659030,1369963150,93.15300977684814,100695880,6.846990223151861,0,1
CBK-Recurrent,2020/2021,2737105780,15855200,0.5792688070681726,2721250580,99.42073119293184,1,1
Capital Grants to Other,2023/2024,18274303780,18365814160,100.50075987080915,-91510380,-0.5007598708091522,0,1
Catering Levy TrusteeKenya,2020/2021,1220000000,1221250280,100.10248196721312,-1250280,-0.10248196721311476,0,1
Central Rift Valley Water Works,2022/2023,6708750000,6497810940,96.85576210173281,210939060,3.144237898267188,0,1
Cheparareira,2022/2023,2170962020,1769276550,81.49735157504045,401685470,18.50264842495955,1,1
Cheparareira Sewerage,2021/2022,2170962020,1008828600,46.46919617690963,1162133420,53.53080382309038,1,1
Civil Registration Department,2022/2023,398939070,398939070,100.0,0,0.0,0,1
Civil Registration Department,2023/2024,684222600,720055260,105.23698866421543,-35832660,-5.236988664215417,0,1
Coast Water Service Board,2020/2021,262715892900,126121065310,48.006637100560425,136594827590,51.993362899439575,1,1
Coast Water Service Board,2021/2022,158395468040,128659231450,81.22658624141278,29736236590,18.773413758587232,1,1
Coast Water Works Development,2022/2023,6914779360,5700194760,82.4349478592763,1214584600,17.56505214072369,1,1
Construction of Roads,2020/2021,949499990,906708500,95.49326061604276,42791490,4.506739383957234,0,1
Conveyance Fees,2020/2021,88862860,75707400,85.19577245206827,13155460,14.804227547931722,1,1
Conveyance Fees,2021/2022,65779100,82431300,125.31533572213667,-16652200,-25.315335722136666,1,1
Current Grants to Other,2023/2024,863435031650,862260345950,99.86395204538375,1174685700,0.1360479546162505,0,0
D Roof Finishing and,2020/2021,11951000,6387000,53.44322650824199,5564000,46.556773491758015,1,1
Daadab,2020/2021,5687090310,1661501300,29.215314148932514,4025589010,70.78468585106748,1,1
December,2022/2023,367789610,427079730,116.12066202740203,-59290120,-16.120662027402023,1,1
Department of Immigration,2022/2023,190089998500,190089998500,100.0,0,0.0,0,1
Department of Immigration,2023/2024,212654157900,212326086530,99.84572539129272,328071370,0.1542746087072864,0,1
Deposit,2020/2021,24360010,140489020,576.7198781938102,-116129010,-476.71987819381025,1,1
